title,type,country,release_year,rating,duration,genre,description
Khan: No. 1 Crime Hunter,TV Show,India,2018,M,1 Season,Crime TV Shows,From fake marriages to online shopping fraud a whip-smart police officer investigates truly baffling cons that were inspired by true stories.
Khido Khundi,Movie,India,2018,M,151 min,Dramas,An embittered former hockey star must engage with the sport again to help his brother assemble a team for a momentous match against the British.
Kia and Cosmos,Movie,India,2018,M,124 min,Dramas,A 15-year-old girl with autism attempts to write a mystery novel based on her hunt for the killer of a neighborhood cat.
King of Peking,Movie,China,2018,M,88 min,Comedies,Strapped for cash a traveling projectionist begins to run a DVD pirating business putting him at odds with his young skeptical son.
Komola Rocket,Movie,Bangladesh,2018,M,95 min,Dramas,As the lives of rich and poor passengers aboard a steamship unfold buried secrets lustful affairs and selfish desires are exposed.
​​Kuch Bheege Alfaaz,Movie,India,2018,M,110 min,Dramas,After accidentally connecting over the Internet two strangers form a tight friendship – not knowing they already share a bond.
Kuntilanak,Movie,Indonesia,2018,M,106 min,Horror Movies,Five youngsters discover that an antique mirror found in their orphanage is home to an evil ghost who kidnaps children and imprisons them inside it.
LAST HOPE,TV Show,Japan,2018,M,2 Seasons,Anime,After causing the near extinction of mankind seven years ago genius scientist Leon Lau must now fight the ecological disaster he unwittingly created.
Late Life: The Chien-Ming Wang Story,Movie,United States,2018,M,98 min,Documentaries,Injuries sidelined the bright career of New York Yankees pitcher Chien-Ming Wang. This documentary captures his relentless battle back to the majors.
Leah Remini: Scientology and the Aftermath,TV Show,United States,2018,M,3 Seasons,Docuseries,Former Scientology members share detailed accounts of alleged abuse and harassment by the Church in this docuseries from actress Leah Remini.
Lessons from a School Shooting: Notes from Dunblane,Movie,United States,2018,M,24 min,Documentaries,Two priests – one from Dunblane Scotland the other from Newtown Connecticut – bond over school tragedies that occurred 16 years apart.
Level 16,Movie,Canada,2018,M,102 min,Sci-Fi & Fantasy,In a bleak academy that teaches girls the virtues of passivity two students uncover the ghastly purpose behind their training and resolve to escape.
Lez Bomb,Movie,United States,2018,M,90 min,Comedies,A young woman's attempt to come out of the closet on Thanksgiving gets complicated when her male roommate shows up to her parents' home unannounced.
Life Sentence,TV Show,United States,2018,M,1 Season,TV Dramas,"Cured of what she thought was terminal cancer Stella Abbott faces a slew of experiences – good and bad – resulting from years of ""living for today."""
Lo más sencillo es complicarlo todo,Movie,Mexico,2018,M,94 min,Comedies,When a 17-year-old learns the TV news host she pines for is engaged she and her best friend launch an elaborate plan to prevent his marriage.
Locked on You,Movie,Turkey,2018,M,105 min,Comedies,When his chatty nature lands him in trouble an unlucky meatball seller flees Istanbul and finds a new life on a beautiful island.
LOST SONG,TV Show,Japan,2018,M,1 Season,Anime,War looms over the kingdom of Neunatia where two young women are both burdened and blessed by the power of song.
Loudon Wainwright III: Surviving Twin,Movie,,2018,M,92 min,Music & Musicals,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.
Love Daily,TV Show,United States,2018,M,1 Season,Romantic TV Shows,This anthology follows 12 different love stories involving fateful encounters magical moments and unexpected romances over the course of a year.
Love for Sale,Movie,Indonesia,2018,M,101 min,Dramas,Richard accepts a bet that he can't find a companion to a friend's wedding not knowing the dating app he's using includes a 45-day contract.
Love Per Square Foot,Movie,India,2018,M,133 min,Comedies,Individually bank employees Sanjay and Karina don't earn enough to be able to buy a home so they decide to enter into a marriage of convenience.
Luciano Mellera: Infantiloide,Movie,Argentina,2018,M,66 min,Stand-Up Comedy,Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.
Lupt,Movie,India,2018,M,110 min,Horror Movies,Haunted by disturbing visions a workaholic takes a vacation with his family but a detour leads them to an unsettling stranger and chilling events.
Magnetic,Movie,France,2018,M,110 min,Action & Adventure,Attracted to thrills across the globe intrepid athletes venture to remote locations in pursuit of their extreme form of bliss.
Making a Murderer,TV Show,United States,2018,M,2 Seasons,Crime TV Shows,Filmed over 10 years this real-life thriller follows a DNA exoneree who while exposing police corruption becomes a suspect in a grisly new crime.
Mama's Boy,Movie,Egypt,2018,M,101 min,Comedies,A man undergoes a heart transplant following a serious injury and begins to take on some of the donor's motherly characteristics.
Manu,Movie,India,2018,M,177 min,Dramas,The relationship between a painter and his admirer unfolds as an abstract twist-filled hide-and-seek game against the backdrop of murder and revenge.
Marching Orders,TV Show,United States,2018,M,1 Season,Docuseries,A top-ranked college marching band’s members fight to keep their spots memorize routines tend to their social lives – and slay the competition.
Marlon,TV Show,United States,2018,M,2 Seasons,TV Comedies,After the friendliest divorce ever a carefree but devoted father navigates post-split parenting life with his levelheaded ex-wife and two kids.
Marriage Palace,Movie,India,2018,M,135 min,Comedies,After a young man charms the girl he loves into accepting his proposal an accidental swap on their wedding day leads him to marry the wrong bride.
Master Z: The Ip Man Legacy,Movie,Hong Kong,2018,M,108 min,Action & Adventure,In this spin-off a martial arts expert once defeated by Ip Man is forced to abandon his reclusive lifestyle to combat a rising Chinese triad.
Mauli,Movie,India,2018,M,136 min,Action & Adventure,An unconventional police officer faces off against a gang of thugs as he tries to bring order to the far-flung village he’s been stationed in.
Memory Games,Movie,Germany,2018,M,86 min,Documentaries,Glimpse into the brain's vast potential for memorization through the eyes of four competitive memory athletes as they share techniques and insights.
Merata: How Mum Decolonised the Screen,Movie,New Zealand,2018,M,88 min,Documentaries,New Zealand film archivist Heperi Mita traces the cinematic legacy of his mother and trailblazing Maori filmmaker Merata Mita.
Mere Papa Hero Hiralal,TV Show,,2018,M,1 Season,International TV Shows,A simple auto-rickshaw driver on the streets of Lucknow Hiralal Tiwari does everything he can to give his gravely ill daughter a happy life.
Meteor Garden,TV Show,China,2018,M,1 Season,International TV Shows,Dong Shancai is determined to excel at her dream university where she encounters an elite clique of dashing popular high-achievers – and finds love.
Midnight Misadventures With Mallika Dua,TV Show,India,2018,M,1 Season,International TV Shows,In this talk show comedian Mallika Dua serves up big laughs as Shalishka and whips up a meal with her celebrity pals who dish on their diets and lives.
Moms at War,Movie,Nigeria,2018,M,92 min,Comedies,Two fierce mothers become rivals when a school contest forces their kids both model students to compete against one another to be the best in class.
More to Say,TV Show,Egypt,2018,M,1 Season,International TV Shows,After her son dies in an accident a legal consultant is forced to prove her innocence when she's accused of his murder.
My Birthday Song,Movie,India,2018,M,92 min,Dramas,After a wild night of impulse and infidelity advertising executive Rajiv Kaul must navigate the blurred lines between life death fact and fiction.
My Dead Ex,TV Show,United States,2018,M,1 Season,TV Comedies,High school teens Charley and Ben find themselves in a complicated romance when Ben dies in a tragic accident but is resurrected by a magical spell.
My Pride,TV Show,,2018,M,1 Season,International TV Shows,After their mother's death Amal and her brothers struggle to live with their authoritarian father whose cruelty and neglect break the family apart.
My Teacher My Obsession,Movie,United States,2018,M,86 min,Thrillers,When Riley changed schools she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation.
Mystery Science Theater 3000: The Return,TV Show,United States,2018,M,2 Seasons,TV Comedies,The cult hit returns! Captured by mad scientists new host Jonah survives a blitz of cheesy B movies by riffing on them with his funny robot pals.
Neevevaro,Movie,India,2018,M,132 min,Dramas,When a blind chef’s girlfriend goes missing his unnerving search for her leads him to find there's more to her disappearance than what meets the eye.
New Girl,TV Show,United States,2018,M,7 Seasons,Romantic TV Shows,Still rebounding from a breakup Jessica Day moves in with three single guys all of whom are ready to help her understand the ways of the world.
